feature_name,coefficient
monetary,0.5054885978023189
avg_ticket,-0.2015003441042383
tenure_days,0.2008370678056392
frequency,-0.1915460678634109
SoW_lifetime,0.16807074828433963
payment_pct_abc_bank_credit_card,0.1680707482843396
payment_pct_debit_card,-0.06532653914905662
payment_pct_xyz_wallet,-0.044330494772974245
payment_pct_cash_upi,-0.04406384231245882
payment_pct_other_bank_credit_card,-0.043062196089958815
Gender=Female,0.023088251204713525
Credit_Card_Limit,-0.016939030018803987
Credit_Card_APR,0.015768116722781746
recency_days,-0.014367468272214353
Gender=Male,-0.013938166410139095
Age,-0.010522940321972155
other_pct,0.008909488725841535
electronics_pct,-0.008343365226864494
Membership_Type=Non-Prime,0.0070842761982737425
Membership_Type=Prime,0.0020658085963008227
grocery_pct,-0.0019631895153005424
