cluster_segment,customer_count,measurable_sow_count,bounded_sow_count,flagged_count,flagged_share,avg_age,avg_credit_limit,avg_apr,avg_tenure_days,avg_recency_days,avg_frequency,avg_monetary,avg_ticket,avg_sow_lifetime,declining_share,dormant_share,prime_share
High-Value Mixed-Basket ABC Loyalists,15037,15037,14664,373,0.02480547981645275,38.62372813726142,199942.94074615947,31.49208818248321,1119.9624925184544,60.94207621201038,141.62964687105142,31887.488024206956,2853.9367380650856,0.3297999284655767,0.5249717363835872,0.0,0.5938019551772294
Core Mixed-Basket Cash/UPI Users,5913,5913,5279,634,0.10722137662776932,38.62607813292745,199529.17300862508,31.47279553526129,617.8060206325047,148.22763402672078,28.918992051412143,9606.373815322173,2591.693891287218,0.08643790853907225,0.17605276509386097,0.0,0.599864704887536
Core Mixed-Basket ABC Loyalists,4476,4476,3920,556,0.12421805183199285,38.65907059874888,200357.01519213585,31.4717672028597,809.516309204647,178.52680965147454,34.196604110813226,11357.465323949955,2513.127430928826,0.7463250671185765,0.29781054512958,0.0,0.6050044682752458
Dormant Cardholders,4450,0,0,0,0.0,38.77078651685393,199258.42696629214,31.561755056179774,204.5026966292135,204.5026966292135,0.0,0.0,0.0,,0.0,1.0,0.6017977528089887
High-Value Electronics Cross-Card Users,4174,4174,3834,340,0.08145663632007666,38.73742213703881,200742.6928605654,31.56482031624341,770.008145663632,142.983708672736,37.93267848586488,12409.655737901296,2657.6984856394274,0.31385153097518453,0.2915668423574509,0.0,0.5965500718735026
Value Mixed-Basket Debit-First Users,1920,1920,1643,277,0.14427083333333332,38.76979166666667,201392.1875,31.5913125,639.0875,126.803125,31.147916666666667,7343.273229166666,1880.1220698310083,0.09293411413773571,0.1328125,0.0,0.58125
Return-Heavy/Anomalous,1230,0,0,0,0.0,38.40650406504065,198909.75609756098,31.511886178861786,617.9138211382113,159.5430894308943,13.44390243902439,-3287.2166178861785,-1371.2591483151673,,0.0,0.0,0.5951219512195122
Value Grocery Cash Drifters,964,964,765,199,0.20643153526970953,38.27904564315353,200762.4481327801,31.42081950207469,557.048755186722,171.0280082987552,20.016597510373444,1723.3766493775931,703.9304177179149,0.2723615001627758,0.061203319502074686,0.0,0.6213692946058091
